Release Year,IMDb Title Rating,IMDb Title Number Of Votes,Runtime (Minutes),Country Code,Season Number,Episode Number,Successful Flag
2022,,,58.0,SE,1.0,1.0,No
2022,,,58.0,SE,1.0,2.0,No
2023,,,25.0,SE,1.0,8.0,No
2023,,,45.0,SE,2.0,4.0,No
2023,,,47.0,SE,2.0,3.0,No
2023,5.3,125,59.0,SE,1.0,5.0,No
2023,5.4,152,59.0,SE,1.0,4.0,No
2023,6.1,127,,SE,9.0,1.0,No
2023,6.8,58,43.0,SE,1.0,4.0,No
2023,6.8,51,43.0,SE,1.0,6.0,No
2023,6.8,47,44.0,SE,1.0,5.0,No
2023,6.8,66,44.0,SE,1.0,2.0,No
2023,7.2,5,36.0,SE,1.0,2.0,No
2023,7.2,97,59.0,SE,1.0,7.0,Yes
2023,7.6,137,59.0,SE,1.0,2.0,Yes
2023,7.8,127,58.0,SE,1.0,3.0,Yes
2023,7.8,105,59.0,SE,1.0,8.0,Yes
2023,7.9,12,22.0,SE,1.0,6.0,No
2011,7.8,1178,57.0,SE,1.0,5.0,Yes
2011,7.8,1358,58.0,SE,1.0,2.0,Yes
2011,7.9,1210,57.0,SE,1.0,4.0,Yes
2011,8.1,1157,57.0,SE,1.0,8.0,Yes
2022,,,,SE,12.0,1.0,No
1973,,,55.0,SE,1.0,2.0,No
1973,,,55.0,SE,1.0,3.0,No
1973,6.4,7,55.0,SE,1.0,1.0,No
1974,,,55.0,SE,1.0,4.0,No
1974,,,55.0,SE,1.0,5.0,No
1974,,,55.0,SE,1.0,6.0,No
1974,,,55.0,SE,1.0,7.0,No
1980,,,45.0,SE,1.0,1.0,No
1980,,,45.0,SE,1.0,3.0,No
1980,,,45.0,SE,1.0,4.0,No
1980,,,45.0,SE,1.0,5.0,No
1980,,,45.0,SE,1.0,6.0,No
1982,7.9,17,25.0,SE,1.0,1.0,No
1983,,,15.0,SE,1.0,1.0,No
1983,,,15.0,SE,1.0,2.0,No
1983,,,15.0,SE,1.0,3.0,No
1983,,,15.0,SE,1.0,4.0,No
1983,,,15.0,SE,1.0,5.0,No
1984,,,21.0,SE,1.0,3.0,No
1984,,,23.0,SE,1.0,1.0,No
1984,,,24.0,SE,1.0,2.0,No
1984,,,24.0,SE,1.0,4.0,No
1986,,,47.0,SE,1.0,6.0,No
1986,,,56.0,SE,1.0,4.0,No
1986,,,56.0,SE,1.0,5.0,No
1986,,,58.0,SE,1.0,3.0,No
1986,6.0,7,60.0,SE,1.0,1.0,No
1994,7.1,10,58.0,SE,1.0,2.0,No
1994,7.4,10,58.0,SE,1.0,4.0,No
1994,7.5,12,59.0,SE,1.0,1.0,No
1994,7.8,10,58.0,SE,1.0,3.0,No
2000,,,29.0,SE,1.0,5.0,No
